n_row,id_invoice,id_scu,quantity,price,sum
1,1.0,8.0,1.0,1861.4893617021276,1861.4893617021276
2,1.0,34.0,4.0,4356.382978723404,17425.531914893618
3,2.0,79.0,10.0,1147.872340425532,11478.723404255321
4,2.0,44.0,8.0,1521.276595744681,12170.212765957447
5,2.0,2.0,3.0,2558.5106382978724,7675.531914893618
6,2.0,47.0,20.0,2544.68085106383,50893.617021276594
7,2.0,6.0,6.0,1521.276595744681,9127.659574468085
8,3.0,19.0,4.0,2399.468085106383,9597.872340425532
9,4.0,14.0,10.0,4494.680851063829,44946.80851063829
10,5.0,46.0,7.0,2765.9574468085107,19361.702127659573
11,5.0,53.0,6.0,10718.085106382978,64308.51063829787
12,5.0,6.0,1.0,1521.276595744681,1521.276595744681
13,5.0,110.0,2.0,815.9574468085107,1631.9148936170213
14,5.0,105.0,3.0,2420.2127659574467,7260.6382978723395
15,6.0,68.0,10.0,4356.382978723404,43563.82978723405
16,6.0,91.0,4.0,2420.2127659574467,9680.851063829787
17,6.0,70.0,28.0,5670.212765957447,158765.95744680852
18,7.0,98.0,8.0,691.4893617021277,5531.914893617021
19,7.0,10.0,7.0,3250.0,22750.0
20,7.0,68.0,14.0,4356.382978723404,60989.36170212766
21,7.0,93.0,6.0,3803.191489361702,22819.14893617021
22,8.0,57.0,2.0,1894.6808510638298,3789.3617021276596
23,8.0,96.0,7.0,484.04255319148933,3388.2978723404253
24,9.0,77.0,9.0,898.9361702127659,8090.425531914893
25,9.0,78.0,5.0,1078.723404255319,5393.617021276596
26,9.0,89.0,10.0,594.6808510638298,5946.808510638298
27,9.0,6.0,7.0,1521.276595744681,10648.936170212766
28,10.0,11.0,2.0,3734.0425531914893,7468.085106382979
29,10.0,5.0,9.0,2904.255319148936,26138.297872340423
30,10.0,16.0,4.0,2323.404255319149,9293.617021276596
31,10.0,49.0,18.0,3734.0425531914893,67212.76595744681
32,10.0,25.0,5.0,4978.723404255319,24893.617021276594
33,11.0,32.0,4.0,3180.851063829787,12723.404255319148
34,11.0,37.0,25.0,3042.553191489362,76063.82978723405
35,11.0,82.0,5.0,968.0851063829787,4840.425531914893
36,12.0,107.0,3.0,442.55319148936167,1327.6595744680849
37,12.0,34.0,6.0,4356.382978723404,26138.297872340427
38,12.0,23.0,8.0,5324.468085106383,42595.744680851065
39,12.0,104.0,1.0,1555.851063829787,1555.851063829787
40,12.0,55.0,20.0,10925.531914893616,218510.63829787233
41,13.0,22.0,7.0,6306.382978723404,44144.68085106383
42,13.0,63.0,41.0,1872.5531914893618,76774.68085106384
43,13.0,23.0,10.0,5324.468085106383,53244.68085106383
44,14.0,97.0,4.0,677.6595744680851,2710.6382978723404
45,15.0,69.0,33.0,5255.31914893617,173425.5319148936
46,15.0,48.0,21.0,3042.553191489362,63893.6170212766
47,15.0,35.0,10.0,3803.191489361702,38031.914893617024
48,15.0,28.0,9.0,8989.361702127659,80904.25531914893
49,15.0,11.0,2.0,3734.0425531914893,7468.085106382979
50,16.0,91.0,1.0,2420.2127659574467,2420.2127659574467
51,16.0,78.0,13.0,1078.723404255319,14023.404255319148
52,17.0,11.0,10.0,3734.0425531914893,37340.425531914894
53,17.0,89.0,2.0,594.6808510638298,1189.3617021276596
54,17.0,81.0,13.0,829.7872340425532,10787.234042553191
55,17.0,77.0,12.0,898.9361702127659,10787.234042553191
56,17.0,84.0,11.0,1244.6808510638298,13691.489361702128
57,18.0,17.0,7.0,1853.191489361702,12972.340425531915
58,18.0,93.0,7.0,3803.191489361702,26622.340425531915
59,18.0,50.0,1.0,4287.234042553191,4287.234042553191
60,18.0,103.0,10.0,1797.8723404255318,17978.723404255317
61,18.0,57.0,23.0,1894.6808510638298,43577.65957446808
62,19.0,32.0,9.0,3180.851063829787,28627.659574468085
63,19.0,55.0,26.0,10925.531914893616,284063.829787234
64,19.0,57.0,12.0,1894.6808510638298,22736.17021276596
65,19.0,7.0,2.0,1929.2553191489362,3858.5106382978724
66,19.0,77.0,4.0,898.9361702127659,3595.7446808510635
67,20.0,31.0,7.0,2323.404255319149,16263.829787234043
68,20.0,81.0,3.0,829.7872340425532,2489.3617021276596
69,20.0,73.0,39.0,1825.5319148936169,71195.74468085106
