id_order,date,id_manager,id_invoice,sum,paid
1,2023-01-10,7,1.0,19287.021276595744,1
2,2023-01-10,6,2.0,91345.74468085106,0
3,2023-01-10,1,3.0,9597.872340425532,1
4,2023-01-10,1,4.0,44946.80851063829,1
5,2023-01-10,7,5.0,94084.0425531915,1
6,2023-01-10,1,6.0,212010.63829787236,1
7,2023-01-10,6,7.0,112090.4255319149,1
8,2023-01-10,3,8.0,7177.659574468085,1
9,2023-01-10,5,9.0,30079.787234042553,1
10,2023-01-10,7,10.0,135006.38297872338,1
11,2023-01-10,7,11.0,93627.6595744681,1
12,2023-01-10,1,12.0,290128.1914893617,1
13,2023-01-10,2,13.0,174164.0425531915,0
14,2023-01-10,7,14.0,2710.6382978723404,1
15,2023-01-10,7,15.0,363723.40425531915,1
16,2023-01-10,7,16.0,16443.617021276594,0
17,2023-01-10,7,17.0,73795.74468085106,1
18,2023-01-11,6,18.0,105438.29787234042,1
19,2023-01-11,3,19.0,342881.91489361704,0
20,2023-01-11,5,20.0,135932.97872340426,1
21,2023-01-11,5,21.0,132918.085106383,1
22,2023-01-11,5,22.0,63575.53191489362,1
23,2023-01-11,3,23.0,87044.68085106384,1
24,2023-01-11,3,24.0,69660.63829787234,1
25,2023-01-11,3,25.0,78926.59574468085,0
26,2023-01-11,5,26.0,12101.063829787234,1
27,2023-01-11,1,27.0,235300.0,0
28,2023-01-11,5,28.0,12764.893617021276,1
29,2023-01-11,5,29.0,146180.8510638298,1
30,2023-01-11,6,30.0,22819.14893617021,0
31,2023-01-11,3,31.0,73837.23404255319,1
32,2023-01-11,3,32.0,82868.08510638299,1
33,2023-01-11,5,33.0,25861.702127659577,1
34,2023-01-11,1,34.0,9680.851063829787,1
35,2023-01-11,5,35.0,88975.31914893618,1
36,2023-01-11,7,36.0,34297.87234042553,1
37,2023-01-11,3,37.0,92479.78723404255,1
38,2023-01-11,1,38.0,141409.5744680851,0
39,2023-01-11,6,39.0,74058.51063829787,1
40,2023-01-11,1,40.0,29526.595744680853,1
41,2023-01-11,6,41.0,1770.2127659574467,1
42,2023-01-12,3,42.0,5642.553191489362,1
43,2023-01-12,5,43.0,15793.617021276596,1
44,2023-01-12,6,44.0,22473.404255319147,1
45,2023-01-12,6,45.0,174255.3191489362,1
46,2023-01-12,4,46.0,98302.12765957447,1
47,2023-01-12,5,47.0,50091.48936170213,1
48,2023-01-12,6,48.0,59896.80851063829,1
49,2023-01-12,5,49.0,75787.2340425532,1
50,2023-01-12,5,50.0,43231.91489361702,1
51,2023-01-12,3,51.0,67226.59574468085,1
52,2023-01-12,4,52.0,40244.68085106383,1
53,2023-01-12,5,53.0,145434.04255319148,1
54,2023-01-12,4,54.0,245285.10638297873,1
55,2023-01-12,4,55.0,19914.893617021276,1
56,2023-01-12,4,56.0,48520.425531914894,1
57,2023-01-12,4,57.0,20744.68085106383,0
58,2023-01-12,3,58.0,562955.3191489361,1
59,2023-01-12,4,59.0,35058.51063829787,1
60,2023-01-12,4,60.0,88469.14893617021,1
61,2023-01-12,6,61.0,59260.63829787234,1
62,2023-01-12,4,62.0,33177.65957446808,1
63,2023-01-12,4,63.0,283842.55319148937,1
64,2023-01-12,3,64.0,37865.957446808505,1
65,2023-01-12,6,65.0,8090.425531914893,1
66,2023-01-13,2,66.0,78110.63829787234,1
67,2023-01-13,2,67.0,17978.723404255317,1
68,2023-01-13,4,68.0,249572.3404255319,1
69,2023-01-13,5,69.0,166510.63829787233,1
70,2023-01-13,4,70.0,167658.51063829788,1
71,2023-01-13,6,71.0,63755.31914893616,1
72,2023-01-13,2,72.0,17909.574468085106,1
73,2023-01-13,2,73.0,18601.063829787236,1
74,2023-01-13,2,74.0,137606.38297872338,1
75,2023-01-13,2,75.0,110569.14893617021,0
76,2023-01-13,4,76.0,182829.78723404254,1
77,2023-01-13,4,77.0,13636.170212765957,1
78,2023-01-13,2,78.0,135172.3404255319,1
79,2023-01-13,6,79.0,6582.978723404255,1
