plan_2024_month,Керамика,Краска,Ламинат,Обои,Шпаклевка
2024-01,17463440.744680848,12211664.164893616,23495293.830851063,4371103.265957447,2372294.3510638294
2024-02,34624642.55319148,19786609.54787234,40418786.43510638,7332372.851063829,4535178.063829787
2024-03,34060609.06382978,18079386.19361702,36682461.5106383,6144576.957446808,4287065.526595744
2024-04,31191636.43617021,21906675.03617021,44858667.03085106,6552865.19148936,4405288.771276595
2024-05,34121291.265957445,17390693.9893617,34472430.71170212,6265159.978723403,3913470.69680851
2024-06,37031708.44680851,23783877.318085104,50034229.07765957,6957246.510638298,6655656.122340425
2024-07,48894961.75531914,26765006.53297872,59671756.7287234,9218303.180851063,6870177.005319148
2024-08,39831216.12765957,20570769.561702125,40361186.00744681,7119571.010638298,4468658.930851064
2024-09,34718642.92553191,18755460.62553191,38455536.6968085,6529204.914893616,4704480.313829787
2024-10,30940624.968085103,15906217.918085106,38183999.86063829,5096414.202127659,3957118.7499999995
2024-11,37431448.351063825,20490154.279787235,37906610.46595744,7118211.404255318,4622997.6968085095
2024-12,33015353.053191487,17718049.7,34598120.85212766,5535520.180851063,4153792.84574468
